workspace,campaign_name,campaign_id,campaign_status,created,leads_count,completed_count,new_leads_contacted_count,emails_sent_count,reply_count,reply_count_unique,open_count,open_count_unique,bounced_count,unsubscribed_count
1,Global SMM Outreach- Outbound (September),53791b7e-cc8c-4684-ae13-01b15ccf24d6,1,2026-09-01T08:13:44.493Z,49,0,49,98,0,0,1,1,0,0
1,Global - Instagram (Manually Collected - Others),6a23594d-89d2-4d19-8d53-daab491883ad,2,2025-05-02T18:12:28.779Z,0,0,49,91,10,10,289,187,3,0
1,IG Commenters – Marshall Haas DM Deals Reel (DZcejoPSQ3b),902d9a8b-af0d-4b37-b30e-0ff9602d8127,1,2026-09-01T15:56:39.446Z,27,0,27,78,0,0,11,4,0,0
1,IG Commenters – Ashley M. Fox Business Systems Reel (DZkrL5ApeYR),bb65cc01-3258-47c6-a7b0-8906d5def121,1,2026-09-01T15:58:42.323Z,28,0,28,76,0,0,8,2,2,0
1,Payment Providers,a5a66375-905b-4d5b-9ce3-f88be2c201cb,3,2026-04-06T12:16:47.477Z,37,35,37,70,7,6,85,45,2,0
1,Global - Partnerships(community),6b589e1b-ea12-4d7d-a1cc-b3ae660aa9c4,2,2025-08-07T10:36:49.260Z,2,2,67,67,3,3,117,69,3,0
1,Partnership (Skool Community),f59d7cd2-015c-4777-bf68-bf6d64fdd477,3,2025-11-03T13:16:07.754Z,29,27,36,66,4,3,0,0,4,0
1,IG Commenters – Vita Sidorkina ManyChat Reel (DZPziI5OFae),f36a0857-e767-4dbe-8b4a-ecee76b769cf,1,2026-09-01T13:35:22.413Z,30,0,30,59,0,0,1,1,1,0
1,IG Commenters – Camila Tunoni ManyChat Trial Reel (DZprjM9s22m),fc0f17f2-13c4-4ea9-9ebd-564b5a8ac3ef,1,2026-09-01T15:57:22.197Z,20,1,20,59,1,1,7,3,0,0
1,Global - College Admission (Instagram),24a6e871-cd73-48d6-bfdd-31ed2a64d7de,3,2025-06-20T11:54:40.703Z,25,25,25,50,0,0,58,43,0,0
1,Global - Good Signups,13559703-5903-47a7-88c7-1c9f7d54d04f,1,2025-07-02T09:43:14.350Z,48,46,49,49,0,0,63,53,2,0
1,IG Commenters – Ajla Leads Reel (DYX03O2imS0),5f3bbb2c-7bd9-4cd1-afe2-9bbfac2bb5d7,1,2026-09-01T15:58:02.397Z,16,0,16,48,0,0,4,2,0,0
1,ManyChat Bloggers → Partnership,bfdb4bf0-31aa-45f2-b147-9f734e7b6a09,1,2026-09-03T19:35:02.500Z,47,2,47,47,2,2,23,13,2,0
1,Global - Skool Community Owners,7b402178-a5a8-4e1b-96a2-93ade8858682,-1,2025-04-30T06:07:22.351Z,0,0,35,35,0,0,34,25,0,0
1,Global - Instagram (Manually Collected - Best accounts),e9c5372c-684e-4e6a-9865-337a0940af01,2,2025-04-30T09:23:10.433Z,0,0,12,31,7,7,144,60,0,0
1,Global - Reel Collab 2,16b08b23-96b7-449e-8876-685d677a3587,3,2025-07-05T11:55:20.598Z,0,0,24,24,0,0,26,19,0,0
1,IG Commenters – Gohar's Guide ManyChat Trial Reel (DZi2JKNJcn2),95efce2f-76e0-42bf-bea4-b3fe231a16aa,1,2026-09-01T15:59:29.757Z,7,0,7,21,0,0,5,1,0,0
1,Global - Spam Test,4cef3af4-d661-4a54-9b43-1f646466acb8,2,2025-08-12T07:57:06.934Z,7,1,7,14,2,2,34,17,0,0
1,5th August Webinar Recording,79678350-5ed9-4f29-8cd3-794bf5d22524,2,2025-08-08T10:27:32.989Z,0,0,0,0,0,0,0,0,0,0
2,India - Daily Creator News,84e04f6e-38a7-4a07-9d4a-bdf8057642ea,2,2025-07-12T06:03:54.521Z,0,0,3741,59233,70,37,24174,23256,11,0
